Bitcoin,BTC,7563.39,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,139.90,https://coinmarketcap.com/currencies/ethereum/
XRP,XRP,0.197806,https://coinmarketcap.com/currencies/xrp/
Bitcoin Cash,BCH,237.58,https://coinmarketcap.com/currencies/bitcoin-cash/
Tether,USDT,1.01,https://coinmarketcap.com/currencies/tether/
Litecoin,LTC,44.56,https://coinmarketcap.com/currencies/litecoin/
EOS,EOS,2.78,https://coinmarketcap.com/currencies/eos/
Binance Coin,BNB,14.43,https://coinmarketcap.com/currencies/binance-coin/
Bitcoin SV,BSV,115.80,https://coinmarketcap.com/currencies/bitcoin-sv/
Monero,XMR,56.07,https://coinmarketcap.com/currencies/monero/
TRON,TRX,0.013916,https://coinmarketcap.com/currencies/tron/
Stellar,XLM,0.046004,https://coinmarketcap.com/currencies/stellar/
Cardano,ADA,0.035313,https://coinmarketcap.com/currencies/cardano/
Tezos,XTZ,1.28,https://coinmarketcap.com/currencies/tezos/
UNUS SED LEO,LEO,0.861920,https://coinmarketcap.com/currencies/unus-sed-leo/
Cosmos,ATOM,4.24,https://coinmarketcap.com/currencies/cosmos/
Huobi Token,HT,2.98,https://coinmarketcap.com/currencies/huobi-token/
Neo,NEO,9.27,https://coinmarketcap.com/currencies/neo/
Chainlink,LINK,1.85,https://coinmarketcap.com/currencies/chainlink/
Ethereum Classic,ETC,5.10,https://coinmarketcap.com/currencies/ethereum-classic/
HedgeTrade,HEDG,1.86,https://coinmarketcap.com/currencies/hedgetrade/
USD Coin,USDC,1.01,https://coinmarketcap.com/currencies/usd-coin/
IOTA,MIOTA,0.179542,https://coinmarketcap.com/currencies/iota/
Dash,DASH,52.52,https://coinmarketcap.com/currencies/dash/
Crypto.com Coin,CRO,0.035556,https://coinmarketcap.com/currencies/crypto-com-coin/
Maker,MKR,450.26,https://coinmarketcap.com/currencies/maker/
Ontology,ONT,0.572626,https://coinmarketcap.com/currencies/ontology/
Dogecoin,DOGE,0.002551,https://coinmarketcap.com/currencies/dogecoin/
VeChain,VET,0.005532,https://coinmarketcap.com/currencies/vechain/
NEM,XEM,0.032119,https://coinmarketcap.com/currencies/nem/
Basic Attention Token,BAT,0.192307,https://coinmarketcap.com/currencies/basic-attention-token/
Zcash,ZEC,31.81,https://coinmarketcap.com/currencies/zcash/
Paxos Standard,PAX,1.01,https://coinmarketcap.com/currencies/paxos-standard/
FTX Token,FTT,2.16,https://coinmarketcap.com/currencies/ftx-token/
Decred,DCR,18.14,https://coinmarketcap.com/currencies/decred/
Synthetix Network Token,SNX,1.12,https://coinmarketcap.com/currencies/synthetix-network-token/
Qtum,QTUM,1.67,https://coinmarketcap.com/currencies/qtum/
TrueUSD,TUSD,1.01,https://coinmarketcap.com/currencies/trueusd/
Ravencoin,RVN,0.023474,https://coinmarketcap.com/currencies/ravencoin/
Algorand,ALGO,0.234909,https://coinmarketcap.com/currencies/algorand/
0x,ZRX,0.190117,https://coinmarketcap.com/currencies/0x/
Holo,HOT,0.000691,https://coinmarketcap.com/currencies/holo/
OKB,OKB,2.72,https://coinmarketcap.com/currencies/okb/
Augur,REP,9.54,https://coinmarketcap.com/currencies/augur/
Seele,SEELE,0.140342,https://coinmarketcap.com/currencies/seele/
Bitcoin Gold,BTG,5.51,https://coinmarketcap.com/currencies/bitcoin-gold/
Waves,WAVES,0.911232,https://coinmarketcap.com/currencies/waves/
OmiseGO,OMG,0.654426,https://coinmarketcap.com/currencies/omisego/
Swipe,SXP,1.50,https://coinmarketcap.com/currencies/swipe/
ZB Token,ZB,0.195737,https://coinmarketcap.com/currencies/zb-token/
KuCoin Shares,KCS,1.09,https://coinmarketcap.com/currencies/kucoin-shares/
Nano,NANO,0.671556,https://coinmarketcap.com/currencies/nano/
THETA,THETA,0.099623,https://coinmarketcap.com/currencies/theta/
Molecular Future,MOF,1.95,https://coinmarketcap.com/currencies/molecular-future/
Centrality,CENNZ,0.078701,https://coinmarketcap.com/currencies/centrality/
DigiByte,DGB,0.005637,https://coinmarketcap.com/currencies/digibyte/
Lisk,LSK,0.588311,https://coinmarketcap.com/currencies/lisk/
MCO,MCO,4.36,https://coinmarketcap.com/currencies/crypto-com/
Bytom,BTM,0.068467,https://coinmarketcap.com/currencies/bytom/
Komodo,KMD,0.580865,https://coinmarketcap.com/currencies/komodo/
LUNA,LUNA,0.237656,https://coinmarketcap.com/currencies/luna/
ABBC Coin,ABBC,0.121975,https://coinmarketcap.com/currencies/abbc-coin/
V Systems,VSYS,0.034789,https://coinmarketcap.com/currencies/v-systems/
Nexo,NEXO,0.117233,https://coinmarketcap.com/currencies/nexo/
BitTorrent,BTT,0.000296,https://coinmarketcap.com/currencies/bittorrent/
Horizen,ZEN,7.57,https://coinmarketcap.com/currencies/horizen/
Enjin Coin,ENJ,0.077585,https://coinmarketcap.com/currencies/enjin-coin/
IOST,IOST,0.005000,https://coinmarketcap.com/currencies/iostoken/
ICON,ICX,0.116430,https://coinmarketcap.com/currencies/icon/
Bitcoin Diamond,BCD,0.317999,https://coinmarketcap.com/currencies/bitcoin-diamond/
Verge,XVG,0.003532,https://coinmarketcap.com/currencies/verge/
Siacoin,SC,0.001363,https://coinmarketcap.com/currencies/siacoin/
Bytecoin,BCN,0.000296,https://coinmarketcap.com/currencies/bytecoin-bcn/
MonaCoin,MONA,0.813327,https://coinmarketcap.com/currencies/monacoin/
HyperCash,HC,1.12,https://coinmarketcap.com/currencies/hypercash/
Energi,NRG,2.02,https://coinmarketcap.com/currencies/energi/
DxChain Token,DX,0.000957,https://coinmarketcap.com/currencies/dxchain-token/
Zilliqa,ZIL,0.004673,https://coinmarketcap.com/currencies/zilliqa/
MaidSafeCoin,MAID,0.097930,https://coinmarketcap.com/currencies/maidsafecoin/
Quant,QNT,3.66,https://coinmarketcap.com/currencies/quant/
Steem,STEEM,0.123158,https://coinmarketcap.com/currencies/steem/
BitShares,BTS,0.015643,https://coinmarketcap.com/currencies/bitshares/
BlockStamp,BST,1.60,https://coinmarketcap.com/currencies/blockstamp/
Aeternity,AE,0.133819,https://coinmarketcap.com/currencies/aeternity/
Ardor,ARDR,0.039423,https://coinmarketcap.com/currencies/ardor/
Single Collateral DAI ,SAI,0.996194,https://coinmarketcap.com/currencies/single-collateral-dai/
Matic Network,MATIC,0.015091,https://coinmarketcap.com/currencies/matic-network/
Decentraland,MANA,0.036612,https://coinmarketcap.com/currencies/decentraland/
Kyber Network,KNC,0.223116,https://coinmarketcap.com/currencies/kyber-network/
Silverway,SLV,0.375911,https://coinmarketcap.com/currencies/silverway/
Crypterium,CRPT,0.376884,https://coinmarketcap.com/currencies/crpt/
DigixDAO,DGD,18.38,https://coinmarketcap.com/currencies/digixdao/
STASIS EURO,EURS,1.12,https://coinmarketcap.com/currencies/stasis-euro/
Electroneum,ETN,0.003572,https://coinmarketcap.com/currencies/electroneum/
RIF Token,RIF,0.064469,https://coinmarketcap.com/currencies/rif-token/
SOLVE,SOLVE,0.100006,https://coinmarketcap.com/currencies/solve/
iExec RLC,RLC,0.406290,https://coinmarketcap.com/currencies/rlc/
EDUCare,EKT,0.032400,https://coinmarketcap.com/currencies/educare/
Digitex Futures,DGTX,0.040887,https://coinmarketcap.com/currencies/digitex-futures/
Nash Exchange,NEX,0.882663,https://coinmarketcap.com/currencies/nash-exchange/
